date,keyword,interest_delta
2024-05-12,AAPL,
2024-05-19,AAPL,-1.0
2024-05-26,AAPL,-5.0
2024-06-02,AAPL,7.0
2024-06-09,AAPL,56.0
2024-06-16,AAPL,-45.0
2024-06-23,AAPL,-8.0
2024-06-30,AAPL,-3.0
2024-07-07,AAPL,10.0
2024-07-14,AAPL,0.0
2024-07-21,AAPL,-6.0
2024-07-28,AAPL,16.0
2024-08-04,AAPL,10.0
2024-08-11,AAPL,-29.0
2024-08-18,AAPL,-5.0
2024-08-25,AAPL,2.0
2024-09-01,AAPL,-7.0
2024-09-08,AAPL,13.0
2024-09-15,AAPL,1.0
2024-09-22,AAPL,-12.0
2024-09-29,AAPL,1.0
2024-10-06,AAPL,-4.0
2024-10-13,AAPL,5.0
2024-10-20,AAPL,-2.0
2024-10-27,AAPL,16.0
2024-11-03,AAPL,-9.0
2024-11-10,AAPL,-4.0
2024-11-17,AAPL,-4.0
2024-11-24,AAPL,-8.0
2024-12-01,AAPL,12.0
2024-12-08,AAPL,0.0
2024-12-15,AAPL,2.0
2024-12-22,AAPL,-8.0
2024-12-29,AAPL,1.0
2025-01-05,AAPL,2.0
2025-01-12,AAPL,2.0
2025-01-19,AAPL,7.0
2025-01-26,AAPL,30.0
2025-02-02,AAPL,-24.0
2025-02-09,AAPL,-9.0
2025-02-16,AAPL,-6.0
2025-02-23,AAPL,5.0
2025-03-02,AAPL,0.0
2025-03-09,AAPL,8.0
2025-03-16,AAPL,-13.0
2025-03-23,AAPL,-3.0
2025-03-30,AAPL,37.0
2025-04-06,AAPL,34.0
2025-04-13,AAPL,-41.0
2025-04-20,AAPL,-15.0
2025-04-27,AAPL,12.0
2025-05-04,AAPL,-18.0
2025-05-11,AAPL,5.0
2025-05-18,AAPL,-35.0
2024-05-12,TSLA,
2024-05-19,TSLA,0.0
2024-05-26,TSLA,-5.0
2024-06-02,TSLA,2.0
2024-06-09,TSLA,11.0
2024-06-16,TSLA,-8.0
2024-06-23,TSLA,2.0
2024-06-30,TSLA,15.0
2024-07-07,TSLA,3.0
2024-07-14,TSLA,-8.0
2024-07-21,TSLA,12.0
2024-07-28,TSLA,-19.0
2024-08-04,TSLA,2.0
2024-08-11,TSLA,-6.0
2024-08-18,TSLA,-2.0
2024-08-25,TSLA,-1.0
2024-09-01,TSLA,0.0
2024-09-08,TSLA,1.0
2024-09-15,TSLA,1.0
2024-09-22,TSLA,4.0
2024-09-29,TSLA,-1.0
2024-10-06,TSLA,11.0
2024-10-13,TSLA,-12.0
2024-10-20,TSLA,19.0
2024-10-27,TSLA,-15.0
2024-11-03,TSLA,26.0
2024-11-10,TSLA,5.0
2024-11-17,TSLA,-20.0
2024-11-24,TSLA,-12.0
2024-12-01,TSLA,7.0
2024-12-08,TSLA,13.0
2024-12-15,TSLA,8.0
2024-12-22,TSLA,-23.0
2024-12-29,TSLA,6.0
2025-01-05,TSLA,-5.0
2025-01-12,TSLA,0.0
2025-01-19,TSLA,-1.0
2025-01-26,TSLA,14.0
2025-02-02,TSLA,-10.0
2025-02-09,TSLA,7.0
2025-02-16,TSLA,-14.0
2025-02-23,TSLA,22.0
2025-03-02,TSLA,7.0
2025-03-09,TSLA,45.0
2025-03-16,TSLA,-10.0
2025-03-23,TSLA,-24.0
2025-03-30,TSLA,20.0
2025-04-06,TSLA,-11.0
2025-04-13,TSLA,-40.0
2025-04-20,TSLA,34.0
2025-04-27,TSLA,-31.0
2025-05-04,TSLA,-10.0
2025-05-11,TSLA,12.0
2025-05-18,TSLA,-32.0
