date,interest,keyword
2024-05-12,19,TSLA
2024-05-19,19,TSLA
2024-05-26,14,TSLA
2024-06-02,16,TSLA
2024-06-09,27,TSLA
2024-06-16,19,TSLA
2024-06-23,21,TSLA
2024-06-30,36,TSLA
2024-07-07,39,TSLA
2024-07-14,31,TSLA
2024-07-21,43,TSLA
2024-07-28,24,TSLA
2024-08-04,26,TSLA
2024-08-11,20,TSLA
2024-08-18,18,TSLA
2024-08-25,17,TSLA
2024-09-01,17,TSLA
2024-09-08,18,TSLA
2024-09-15,19,TSLA
2024-09-22,23,TSLA
2024-09-29,22,TSLA
2024-10-06,33,TSLA
2024-10-13,21,TSLA
2024-10-20,40,TSLA
2024-10-27,25,TSLA
2024-11-03,51,TSLA
2024-11-10,56,TSLA
2024-11-17,36,TSLA
2024-11-24,24,TSLA
2024-12-01,31,TSLA
2024-12-08,44,TSLA
2024-12-15,52,TSLA
2024-12-22,29,TSLA
2024-12-29,35,TSLA
2025-01-05,30,TSLA
2025-01-12,30,TSLA
2025-01-19,29,TSLA
2025-01-26,43,TSLA
2025-02-02,33,TSLA
2025-02-09,40,TSLA
2025-02-16,26,TSLA
2025-02-23,48,TSLA
2025-03-02,55,TSLA
2025-03-09,100,TSLA
2025-03-16,90,TSLA
2025-03-23,66,TSLA
2025-03-30,86,TSLA
2025-04-06,75,TSLA
2025-04-13,35,TSLA
2025-04-20,69,TSLA
2025-04-27,38,TSLA
2025-05-04,28,TSLA
2025-05-11,40,TSLA
2025-05-18,8,TSLA
2024-05-12,38,AAPL
2024-05-19,37,AAPL
2024-05-26,32,AAPL
2024-06-02,39,AAPL
2024-06-09,95,AAPL
2024-06-16,50,AAPL
2024-06-23,42,AAPL
2024-06-30,39,AAPL
2024-07-07,49,AAPL
2024-07-14,49,AAPL
2024-07-21,43,AAPL
2024-07-28,59,AAPL
2024-08-04,69,AAPL
2024-08-11,40,AAPL
2024-08-18,35,AAPL
2024-08-25,37,AAPL
2024-09-01,30,AAPL
2024-09-08,43,AAPL
2024-09-15,44,AAPL
2024-09-22,32,AAPL
2024-09-29,33,AAPL
2024-10-06,29,AAPL
2024-10-13,34,AAPL
2024-10-20,32,AAPL
2024-10-27,48,AAPL
2024-11-03,39,AAPL
2024-11-10,35,AAPL
2024-11-17,31,AAPL
2024-11-24,23,AAPL
2024-12-01,35,AAPL
2024-12-08,35,AAPL
2024-12-15,37,AAPL
2024-12-22,29,AAPL
2024-12-29,30,AAPL
2025-01-05,32,AAPL
2025-01-12,34,AAPL
2025-01-19,41,AAPL
2025-01-26,71,AAPL
2025-02-02,47,AAPL
2025-02-09,38,AAPL
2025-02-16,32,AAPL
2025-02-23,37,AAPL
2025-03-02,37,AAPL
2025-03-09,45,AAPL
2025-03-16,32,AAPL
2025-03-23,29,AAPL
2025-03-30,66,AAPL
2025-04-06,100,AAPL
2025-04-13,59,AAPL
2025-04-20,44,AAPL
2025-04-27,56,AAPL
2025-05-04,38,AAPL
2025-05-11,43,AAPL
2025-05-18,8,AAPL
